add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
divide,70,4
add,10,20
subtract,100,50
multiply,10,5
divide,100,4
add,30,20
subtract,200,50
multiply,30,5
divide,50,4
add,30,20
subtract,60,50
multiply,30,5
